AR = 0.5,,AR = 0.75,,AR = 1,,AR = 1.25,
X,Y,X,Y,X,Y,X,Y
0,0,0,0,0,0,0,0
0.9417854061932971,-0.005949370854032132,0.9435702174495049,0.011095576642770055,0.944165154534911,0.01677722580837071,0.9435702174495049,0.011095576642770055
1.989469613588362,-0.0005651902311332169,1.9924442990153786,0.027843055596870725,1.9924442990153786,0.027843055596870725,1.9930392361007812,0.03352470476247138
3.038343695154243,0.016182288722967453,2.9377993277210948,0.055983579736442746,3.0436981289228697,0.06731713121337402,3.045482940179081,0.08436207871017642
3.9831037867745493,0.03864116369693904,3.987268346372371,0.07841270785614429,3.9884582205431798,0.0897760061873456,3.99083796888479,0.11250260284974867
5.031977868340423,0.05538864265103949,4.932623375078087,0.10655323199571631,4.934408186334299,0.1235981794925185,4.937977808846718,0.1576880744861231
6.0808519499063,0.07213612160514038,5.982092393729367,0.12898236011541742,5.985662016241786,0.163072255109022,5.989826575839608,0.20284379926822727
7.02561204152661,0.09459499657911175,7.033346223636851,0.16845643573192115,7.036320909063868,0.19686468155992487,7.041080405747092,0.242317874884731
7.971562007317726,0.12841716988428442,7.978701252342564,0.1965969598714934,7.983460749025788,0.24205015319629952,7.988220245709016,0.28750334652110543
9.021031025969005,0.15084629800398597,9.029360145164649,0.23038938632239647,9.035309516018682,0.2872058779784039,9.040069012701906,0.3326590713032098
10.071689918791094,0.18463872445488883,9.975310110955764,0.26421155962756937,10.08596840884077,0.3209983044293063,10.0913228426094,0.3721331469197131
11.017044947496807,0.21277924859446085,11.026563940863255,0.30368563524407266,11.03310824880269,0.36618377606568075,11.039057619656724,0.4230002677216882
11.962994913287922,0.24660142189963397,11.97370378082518,0.3488711068804471,11.980248088764615,0.4113692477020552,11.986197459618644,0.4681857393580626
13.013058869024604,0.27471219918493595,13.02495761073267,0.3883451824969508,13.032096855757509,0.4565249724841596,13.038046226611542,0.513341464140167
13.95900883481572,0.30853437249010907,13.971502513609188,0.4278490049677244,14.083945622750399,0.5016806972662637,14.091084867775237,0.5698604872534727
15.009667727637805,0.3423267989410117,15.022756343516676,0.4673230805842279,15.03108546271232,0.5468661689026382,15.03941458190797,0.6264092572210485
16.061516494630695,0.3874825237231161,16.074605110509566,0.5124788053663323,16.083529166790612,0.5977035428503434,16.091858285986255,0.6772466311687537
17.11217538745278,0.42127495017401895,17.126453877502456,0.5576345301484367,17.135377933783502,0.6428592676324478,17.143707052979146,0.7224023559508581
18.0593152274147,0.4664604218103934,18.072998780378974,0.5971383526192104,19.239670404854685,0.738852366362257,18.196150757057445,0.7732397298985629
19.109974120236792,0.500252848261296,19.125442484457274,0.6479757265669153,20.186810244816613,0.7840378379986315,19.14269565993397,0.8127435523693367
20.16063301305887,0.5340452747121991,20.17669631436476,0.6874498021834188,21.239253948894905,0.8348752119463363,20.194544426926853,0.8578992771514411
21.107772853020798,0.5792307463485733,21.228545081357645,0.732605526965523,22.186393788856833,0.8800606835827107,21.24579825683434,0.8973733527679444
22.159621620013688,0.6243864711306775,22.280988785435945,0.7834429009132282,23.342356545795283,0.9195050123449443,22.296457149656426,0.9311657792188475
23.21087544992117,0.6638605467471812,23.22693875122706,0.8172650742184011,24.28949638575721,0.9646904839813187,23.34652110539311,0.9592765565041494
24.262129279828663,0.7033346223636847,24.27878751821995,0.8624207990005053,25.3413451527501,1.009846208763423,24.292471071184224,0.9930987298093223
25.313383109736144,0.7428086979801882,25.33063628521284,0.9075765237826097,26.39200404557218,1.0436386352143256,25.34312996400631,1.0268911562602252
26.259333075527266,0.7766308712853611,26.277776125174768,0.9527619954189842,27.338548948448704,1.0831424576850996,26.393788856828387,1.060683582711128
27.310586905434754,0.8161049469018649,27.328435017996846,0.986554421869887,28.388612904185386,1.1112532349704014,27.339143885534106,1.0888241068507
28.25713180831127,0.8556087693726386,28.275574857958773,1.0317398935062614,29.335157807061904,1.1507570574411752,28.283309040069014,1.105601332659071
29.307790701133356,0.8894011958235413,29.32623375078085,1.065532319957164,30.38581669988399,1.184549483892078,29.332778058720287,1.1280304607787723
30.35785465687004,0.9175119731088434,30.377487580688346,1.1050063955736678,31.435285718535276,1.2069786120117794,30.483981318975516,1.1220215962161997
31.304399559746564,0.957015795579617,31.42874141059584,1.144480471190171,32.38004581015558,1.2294374869857507,31.322842609394066,1.1331469197132398
32.35446351548324,0.9851265728649192,32.37469137638695,1.1783026444953442,33.42891989172145,1.2461849659398516,32.37052681678913,1.1385311003361391
33.40452747121992,1.0132373501502212,33.425350269209034,1.212095070946247,34.477199036201924,1.2572507957283512,33.4188059612696,1.149596930124639
34.45518636404201,1.047029776601124,34.47481928786031,1.2345241990659483,35.420769253651436,1.2683463723711212,34.46649016866467,1.154981110747538
35.400541392747726,1.0751703007406963,35.5254781806824,1.2683166255168512,36.4684534610465,1.2737305529940204,35.40887051194337,1.1547133890591064
36.450010411399,1.0975994288603976,36.47023827230271,1.2907755004908226,37.51554273135616,1.2734330844513189,36.45298509682601,1.1260076746884011
37.3947705030193,1.120058303834369,37.51911235386858,1.3075229794449232,38.45673320046405,1.2618020644316859,37.485200940000595,0.9836689770056812
38.44423952167058,1.1424874319540703,38.567986435434456,1.324270458399024,39.502632596602915,1.2501412975577826,38.42401166076687,0.9493113603236454
39.597227593182026,1.1535235148882999,39.510366778713156,1.3240027367105922,40.54793705565637,1.2327988815182789,39.467531308564126,0.9149239967873393
40.54079781063153,1.16461909153107,40.55745604902282,1.3237052681678907,41.59205164053901,1.2040931671475736,40.406936966415806,0.8862480292709041
